outbreak,outbreak_day,outbreak_day_av,outbreak_day_md,outbreak_day_sd,outbreak_prob,control_prob,contained_prob,iq_factor,cluster_size,poisson_lambda,num_tests,label,beta,first_case_day,first_case_day_av,first_case_day_md,first_case_day_sd,first_case_inf,first_case_inf_av,first_case_inf_md,first_case_inf_sd,resurgence,resurgence_day,resurgence_day_av,resurgence_day_md,resurgence_day_sd,resurgence_prob,resurgence_control_prob,resurgence_contained_prob
False,,,,,0,0,100,0.1,0,0.05,6260,distributed,0.0192,,,,,,,,,False,,53.4444444444444,54,1.86256162380447,1.8,93.3000000000001,4.9
False,,37.2058823529412,38,4.27908327018977,6.8,92.5000000000001,0.7,0.1,0,0.1,6260,distributed,0.0192,,27.7608695652174,27,7.51573648394023,,4.32608695652174,3,4.68216326114679,False,,40.2280701754386,42,11.9290136831895,39.9,59.7,0.4
False,,35.519801980198,36,5.01306253705179,20.2,79.6000000000001,0.2,0.1,0,0.1428,6260,distributed,0.0192,,23.9715370018975,22,9.10622251701911,,4.21442125237192,3,3.92016399728639,True,50,36.9425625920471,38,13.4498884447739,67.9,32.1,0
False,,,,,0,96.9000000000001,3.1,0.1,0,0.15,6260,distributed,0.0192,,40.1052631578947,41,1.93022324430445,,4.86842105263158,3.5,4.35993150979268,False,,50.0905349794239,51,5.4757257934292,24.3,73.2000000000001,2.5
False,,36.9659090909091,38,4.27319569482618,8.80000000000001,90.6000000000001,0.6,0.1,0,0.167,6260,distributed,0.0192,,28.8342857142857,28,7.65364312345595,,4.3,3,4.39853871838624,True,55,44.751724137931,49,11.289012683675,72.5000000000001,27.3,0.2
False,,38.9951219512195,40,2.83100871616135,20.5,78.7000000000001,0.8,0.1,0,0.2,6260,distributed,0.0192,34,30.02679528403,30,5.52635021964406,4,4.47052518756699,4,3.87954200049567,True,36,37.0040322580645,37,9.29620022265036,99.2000000000001,0.8,0
False,,37.3115183246073,38,3.99932236386154,38.2,61.7,0.1,0.1,0,0.25,6260,distributed,0.0192,29,24.9039256198347,24,5.83998622729228,4,4.25413223140496,3,3.7677244309362,True,31,32.1422680412371,30,10.6787372805747,97.0000000000001,3,0
False,,35.8556338028169,38,5.32833278165852,28.4,71.5000000000001,0.1,0.1,0,0.3,6260,distributed,0.0192,32,25.8142857142857,27,8.20838584108773,4,3.9967032967033,3,3.73710090814811,True,36,34.7106109324759,35,12.0296108830506,93.3000000000001,6.7,0
True,41,34.9807692307692,36,4.83301373740096,57.2,42.8,0,0.1,0,0.33,6260,distributed,0.0192,21,18.6980552712385,18,5.36086947234345,3,4.20266120777892,3,3.79298942292156,True,26,27.6966632962589,25,11.9338842170707,98.9000000000001,1.1,0
True,41,35.241610738255,36,4.9213969298455,59.6000000000001,40.2,0.2,0.1,0,0.35,6260,distributed,0.0192,22,18.6797583081571,18,5.95976465180702,4,4.21450151057402,3,3.66157907294101,True,25,26.8090909090909,24,11.3656810281725,99.0000000000001,1,0
True,41,35.3530499075786,36,5.08260188284923,54.1,45.8,0.1,0.1,0,0.4,6260,distributed,0.0192,23,18.8661174047374,18,6.15309281978031,4,4.10504634397528,3,3.9258426152701,True,27,28.0883864337102,27,11.7122224599075,97.3000000000001,2.7,0
False,,37.124763705104,38,4.10996428435149,52.9,46.8,0.3,0.1,0,0.45,6260,distributed,0.0192,26,22.8549848942598,23,5.30206574202002,4,4.62638469284995,4,3.81606145076563,True,28,28.8358358358358,28,9.08028240781545,99.9000000000001,0.1,0
True,37,34.4392405063291,35,5.19134912641052,79.0000000000001,21,0,0.1,0,0.5,6260,distributed,0.0192,20,17.422,17,4.71867735705674,6,4.933,4,3.82001452876818,True,20,21.774,20,8.33564178692919,100,0,0
True,40,35.1139053254438,36,5.08423559764283,67.6000000000001,32.3,0.1,0.1,0,0.55,6260,distributed,0.0192,21,18.0770770770771,17,5.67496875193163,5,4.63263263263263,4,4.04877373348044,True,24,24.252,23,9.1366567189536,100,0,0
True,35,33.2885514018692,33,5.26868368837089,85.6000000000001,14.4,0,0.1,0,0.6,6260,distributed,0.0192,18,16.319,16,3.83865067439068,4,5.451,4,4.28691019266791,True,20,19.904,19,6.91843797399384,100,0,0
